time,open,high,low,close,volume
5/23/2021,37458.51,38270.64,31125.46,34330.78,208887.6131
5/22/2021,37263.35,38829,35207.93,37449.73,126378.0416
5/21/2021,40525.39,42200,33500,37257.08,200047.578
5/20/2021,36671.23,42451.67,34887.29,40526.64,201893.7295
5/19/2021,42849.78,43584.9,30000,36690.09,350462.2226
5/18/2021,43538.02,45799.29,42262.98,42849.78,116773.2173
5/17/2021,46426.83,46686,42099.01,43538.04,165860.0068
5/16/2021,46762.99,49795.89,43851,46431.36,112909.572
5/15/2021,49844.16,50700,46560.88,46762.99,88698.69759
5/14/2021,49671.92,51483,48833.39,49841.45,79904.7017
5/13/2021,49537.15,51367.19,46000,49670.97,146937.8418
5/12/2021,56670.02,58000.01,48607.14,49612.02,98390.49045
5/11/2021,55816.14,56862.43,54419.24,56670.02,64257.98913
5/10/2021,58240.83,59500,53489.13,55806.81,88867.75723
5/9/2021,58866.53,59300,56246.21,58240.84,69148.57471
5/8/2021,57315.49,59500,56900,58862.05,63070.92789
5/7/2021,56413.08,58650,55342.06,57314.75,33648.4991
5/6/2021,57436.11,58360,55259,56400,61313.51268
5/5/2021,53205.05,58050.76,52948.98,57436.11,68370.04815
5/4/2021,57169.39,57200,53046.69,53200.01,71050.43728
5/3/2021,56578.21,58981.44,56496.53,57169.39,52928.04281
5/2/2021,57797.35,57911.02,56035.6,56578.21,34620.15338
5/1/2021,57697.25,58458.07,57005.4,57797.36,40793.15936
4/30/2021,53555,57963,53013.27,57694.27,58380.8292
4/29/2021,54846.23,55195.84,52330.94,53555,49406.97295
4/28/2021,55011.97,56406.75,53818.22,54846.22,49508.65697
4/27/2021,54001.38,55460,53222.44,55011.97,50737.45125
4/26/2021,49066.76,54356.62,48753.44,54001.39,78119.76507
4/25/2021,50047.84,50567.91,46945.97,49066.77,50253.52464
4/24/2021,51110.56,51166.22,48657.75,50047.84,54048.13523
